Date;DishargeRateBat0;RemainingCapacityBat0;DishargeRateBat1;RemainingCapacityBat1;
05/29/2024 03:02:46;8;35256;6870;15314;
05/29/2024 03:02:47;8;35256;6870;15314;
05/29/2024 03:02:48;8;35256;6870;15314;
05/29/2024 03:02:49;8;35256;6870;15314;
05/29/2024 03:02:50;8;35256;6870;15314;
05/29/2024 03:02:51;8;35256;6870;15314;
05/29/2024 03:02:52;8;35256;6870;15314;
05/29/2024 03:02:53;8;35256;6870;15314;
05/29/2024 03:02:54;8;35256;6870;15314;
05/29/2024 03:02:55;8;35256;6870;15314;
05/29/2024 03:02:56;8;35256;6870;15314;
05/29/2024 03:02:57;8;35256;6870;15314;
05/29/2024 03:02:58;8;35256;6870;15314;
05/29/2024 03:02:59;8;35256;6870;15314;
05/29/2024 03:03:00;8;35256;6870;15314;
05/29/2024 03:03:01;8;35256;6870;15314;
05/29/2024 03:03:02;8;35256;6870;15314;
05/29/2024 03:03:03;8;35256;6870;15314;
05/29/2024 03:03:05;8;35256;6870;15314;
05/29/2024 03:03:06;8;35256;6870;15314;
05/29/2024 03:03:07;8;35256;6870;15314;
05/29/2024 03:03:08;8;35256;6870;15314;
05/29/2024 03:03:09;8;35256;6870;15314;
05/29/2024 03:03:10;8;35256;6870;15314;
05/29/2024 03:03:11;8;35256;6870;15314;
05/29/2024 03:03:12;8;35256;6870;15314;
05/29/2024 03:03:13;8;35256;6870;15314;
05/29/2024 03:03:14;8;35256;6870;15314;
05/29/2024 03:03:15;8;35256;7334;14957;
05/29/2024 03:03:16;8;35256;7334;14957;
05/29/2024 03:03:17;8;35256;7334;14957;
05/29/2024 03:03:18;8;35256;7334;14957;
05/29/2024 03:03:19;8;35256;7334;14957;
05/29/2024 03:03:20;8;35256;7334;14957;
05/29/2024 03:03:21;8;35256;7334;14957;
05/29/2024 03:03:22;8;35256;7334;14957;
05/29/2024 03:03:23;8;35256;7334;14957;
05/29/2024 03:03:24;8;35256;7334;14957;
05/29/2024 03:03:25;8;35256;7334;14957;
05/29/2024 03:03:26;8;35256;7334;14957;
05/29/2024 03:03:27;8;35256;7334;14957;
05/29/2024 03:03:28;8;35256;7334;14957;
05/29/2024 03:03:29;8;35256;7334;14957;
05/29/2024 03:03:30;8;35256;7334;14957;
05/29/2024 03:03:31;8;35256;7334;14957;
05/29/2024 03:03:32;8;35256;7334;14957;
05/29/2024 03:03:33;8;35256;7334;14957;
05/29/2024 03:03:35;8;35256;7334;14957;
05/29/2024 03:03:36;8;35256;7334;14957;
05/29/2024 03:03:37;8;35256;7334;14957;
05/29/2024 03:03:38;8;35256;7334;14957;
05/29/2024 03:03:39;8;35256;7334;14957;
05/29/2024 03:03:40;8;35256;7334;14957;
05/29/2024 03:03:41;8;35256;7334;14957;
05/29/2024 03:03:42;8;35256;7334;14957;
05/29/2024 03:03:43;8;35256;7334;14957;
05/29/2024 03:03:44;8;35256;7334;14957;
05/29/2024 03:03:45;8;35256;7334;14957;
05/29/2024 03:03:46;8;35256;7334;14957;
05/29/2024 03:03:47;8;35256;7334;14957;
05/29/2024 03:03:48;8;35256;7334;14957;
05/29/2024 03:03:49;8;35256;7334;14957;
05/29/2024 03:03:50;8;35256;7334;14957;
05/29/2024 03:03:51;8;35256;7334;14957;
05/29/2024 03:03:52;8;35256;7334;14957;
05/29/2024 03:03:53;8;35256;7334;14957;
05/29/2024 03:03:54;8;35256;7334;14957;
05/29/2024 03:03:55;8;35256;7334;14957;
05/29/2024 03:03:56;8;35256;7334;14957;
05/29/2024 03:03:57;8;35256;7334;14957;
05/29/2024 03:03:58;8;35256;7334;14957;
05/29/2024 03:03:59;8;35256;7334;14957;
05/29/2024 03:04:00;8;35256;7334;14957;
05/29/2024 03:04:01;8;35256;7334;14957;
05/29/2024 03:04:03;8;35256;7334;14957;
05/29/2024 03:04:04;8;35256;7334;14957;
05/29/2024 03:04:05;8;35256;7334;14957;
05/29/2024 03:04:06;8;35256;7334;14957;
05/29/2024 03:04:07;8;35256;7334;14957;
05/29/2024 03:04:08;8;35256;7334;14957;
